helper,month,date,admission_type,EAST OF ENGLAND COMMISSIONING REGION,LONDON COMMISSIONING REGION,MIDLANDS COMMISSIONING REGION,NATIONAL,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,NORTH WEST COMMISSIONING REGION,SOUTH EAST COMMISSIONING REGION,SOUTH WEST COMMISSIONING REGION
118,,03/01/2020,sas_elective_total,0.027170549,0.02888603,0.045308524,0.232656042,0.041070395,0.031920489,0.03333657,0.024708591
119,,04/01/2020,sas_elective_total,0.00931579,0.008777679,0.016469022,0.076918284,0.013978743,0.008769587,0.010561941,0.008988069
120,,05/01/2020,sas_elective_total,0.010869433,0.01154106,0.019416494,0.093228705,0.015912705,0.010640837,0.013640906,0.01113242
121,,06/01/2020,sas_elective_total,0.016050267,0.017701013,0.027065354,0.136564426,0.022970857,0.015607236,0.020688944,0.016353713
122,,07/01/2020,sas_elective_total,0.021263468,0.024912911,0.035088465,0.183061648,0.030884727,0.021787418,0.028070772,0.020862919
123,,08/01/2020,sas_elective_total,0.021712568,0.02684485,0.036496454,0.189193279,0.031441045,0.023460416,0.028552239,0.020484623
124,,09/01/2020,sas_elective_total,0.026705265,0.032468715,0.043226885,0.230571571,0.038622598,0.02944437,0.03526244,0.024581143
125,,10/01/2020,sas_elective_total,0.029942022,0.036124227,0.047359818,0.253018073,0.041598391,0.032456577,0.038810735,0.026440256
126,,11/01/2020,sas_elective_total,0.0294646,0.035254348,0.044050234,0.243243068,0.038491105,0.031523986,0.038424347,0.025750422
127,,12/01/2020,sas_elective_total,0.02637552,0.030348639,0.041450714,0.222375294,0.037103346,0.029339176,0.033136296,0.024372777
128,,01/01/2021,sas_elective_total,0.018712499,0.01912114,0.035679173,0.181315013,0.034627227,0.0281173,0.024378846,0.020460348
129,,02/01/2021,sas_elective_total,0.020581726,0.022509619,0.036146479,0.191735751,0.035256371,0.028358034,0.027645947,0.021030826
130,,03/01/2021,sas_elective_total,0.027700568,0.032060074,0.046502078,0.250813437,0.044426507,0.035478898,0.037240908,0.027130089
131,,04/01/2021,sas_elective_total,0.028297345,0.032917815,0.045298409,0.245295172,0.04225788,0.033496385,0.036652223,0.026066006
132,,05/01/2021,sas_elective_total,0.030073515,0.035064189,0.048367259,0.258226824,0.04340086,0.034971132,0.039122273,0.026903516
133,,06/01/2021,sas_elective_total,0.033126181,0.038972573,0.053141475,0.282332164,0.047788688,0.038044028,0.042067721,0.028861754
134,,07/01/2021,sas_elective_total,0.032201682,0.037683939,0.052405112,0.27416259,0.04581629,0.036532867,0.041181659,0.027995922
135,,08/01/2021,sas_elective_total,0.029426164,0.03348627,0.047976825,0.249349614,0.042150663,0.033033124,0.037200448,0.025798973
136,,09/01/2021,sas_elective_total,0.031147713,0.036591533,0.050687608,0.26785577,0.04587091,0.035713563,0.040097345,0.027429489
137,,10/01/2021,sas_elective_total,0.030534753,0.035934067,0.049941131,0.261803035,0.04463892,0.034297482,0.039336708,0.026832712
138,,11/01/2021,sas_elective_total,0.032341267,0.038175521,0.053606758,0.279066681,0.047784642,0.036193008,0.041600414,0.029045845
139,,12/01/2021,sas_elective_total,0.027488155,0.031748536,0.047349703,0.240064978,0.040936879,0.031157828,0.035921929,0.025200173
140,,01/01/2022,sas_elective_total,0.02776328,0.032624484,0.046641663,0.243020946,0.042233605,0.031149736,0.036286065,0.026057914
141,,02/01/2022,sas_elective_total,0.029217797,0.034849754,0.048822427,0.252827105,0.043540445,0.033109997,0.037162012,0.025849547
142,,04/01/2018,sas_non_elective,0,0.034876977,0,0.258886257,0,0,0.038035541,0.026833819
143,,05/01/2018,sas_non_elective,0,0.037679154,0,0.274738708,0,0,0.04034856,0.02786571
144,,06/01/2018,sas_non_elective,0,0.036407343,0,0.265556976,0,0,0.039323657,0.02679422
145,,07/01/2018,sas_non_elective,0,0.037478832,0,0.271502344,0,0,0.039649763,0.027367234
146,,08/01/2018,sas_non_elective,0,0.03641666,0,0.267673867,0,0,0.039202532,0.027248439
147,,09/01/2018,sas_non_elective,0,0.035971759,0,0.260338824,0,0,0.03769313,0.026132692
148,,10/01/2018,sas_non_elective,0,0.038713374,0,0.282742733,0,0,0.040819084,0.028701937
149,,11/01/2018,sas_non_elective,0,0.03845249,0,0.280999467,0,0,0.041359487,0.028776476
150,,12/01/2018,sas_non_elective,0,0.038289437,0,0.278513611,0,0,0.040863341,0.028930211
151,,01/01/2019,sas_non_elective,0,0.038888074,0,0.288957837,0,0,0.042472904,0.02996909
152,,02/01/2019,sas_non_elective,0,0.035477942,0,0.259296218,0,0,0.038333694,0.026188596
153,,03/01/2019,sas_non_elective,0,0.038848475,0,0.283529113,0,0,0.042675555,0.028683303
154,,04/01/2019,sas_non_elective,0.030341782,0.037690801,0.054643625,0.276637108,0.044632188,0.040227435,0.040746875,0.028093984
155,,05/01/2019,sas_non_elective,0.031471504,0.038911367,0.056446522,0.286704448,0.04614159,0.04196977,0.042330815,0.029181778
156,,06/01/2019,sas_non_elective,0.029820013,0.036842927,0.053206432,0.269996203,0.043080858,0.039274742,0.040411452,0.027094703
157,,07/01/2019,sas_non_elective,0.032188936,0.038662129,0.056479133,0.286483162,0.045922634,0.042216678,0.042368085,0.028350209
158,,08/01/2019,sas_non_elective,0.030544433,0.036596018,0.053553501,0.271576883,0.04348616,0.039747594,0.040269363,0.027131973
159,,09/01/2019,sas_non_elective,0.030467565,0.036360756,0.053243701,0.270958214,0.043227605,0.040297315,0.039845426,0.027239121
160,,10/01/2019,sas_non_elective,0.032880746,0.038643495,0.057238493,0.29156901,0.046605126,0.043241581,0.043330096,0.029328526
161,,11/01/2019,sas_non_elective,0.031997932,0.038154336,0.056020256,0.284339252,0.045508014,0.041564468,0.042172421,0.02862507
162,,12/01/2019,sas_non_elective,0.03217496,0.038009918,0.055906119,0.286468255,0.046265045,0.041093944,0.043057565,0.029675595
163,,01/01/2020,sas_non_elective,0.032251828,0.038445502,0.056260176,0.287424675,0.046299984,0.040984466,0.043232264,0.029673266
164,,02/01/2020,sas_non_elective,0.029340172,0.035170472,0.051412852,0.26203923,0.042065272,0.037460198,0.03945177,0.026873418
165,,03/01/2020,sas_non_elective,0.026447151,0.030232304,0.046840388,0.236778171,0.038643495,0.034168862,0.035650312,0.024565057
166,,04/01/2020,sas_non_elective,0.018515801,0.022953164,0.033975528,0.171913004,0.027309001,0.026214219,0.025480481,0.017332504
167,,05/01/2020,sas_non_elective,0.023230354,0.026414541,0.040215789,0.207589871,0.032610544,0.03134805,0.031711425,0.021893322
168,,06/01/2020,sas_non_elective,0.025601606,0.029997042,0.044613553,0.228649295,0.035524529,0.033838098,0.034627739,0.024248269
169,,07/01/2020,sas_non_elective,0.028345551,0.032682753,0.049083527,0.249501408,0.03872968,0.036479552,0.03779562,0.026160644
170,,08/01/2020,sas_non_elective,0.02772828,0.031960662,0.047432036,0.243912427,0.038077469,0.035517541,0.037478832,0.025503775
171,,09/01/2020,sas_non_elective,0.028438724,0.033050786,0.049388669,0.251470619,0.03955659,0.035997382,0.038610884,0.026197913
172,,10/01/2020,sas_non_elective,0.028722901,0.033609824,0.049602967,0.251838186,0.039083737,0.034751193,0.039216508,0.026610204
173,,11/01/2020,sas_non_elective,0.026731329,0.031883795,0.046421109,0.23746672,0.036903489,0.033605166,0.036887184,0.024823612
174,,12/01/2020,sas_non_elective,0.026214219,0.032151667,0.046642395,0.239360927,0.03807281,0.03462541,0.036495857,0.024975018
175,,01/01/2021,sas_non_elective,0.024828271,0.030828611,0.045188897,0.229439401,0.03676373,0.033609824,0.034602116,0.023433005
176,,02/01/2021,sas_non_elective,0.024129473,0.029062983,0.04438295,0.223025373,0.035231034,0.032936649,0.034066372,0.023032361
177,,03/01/2021,sas_non_elective,0.028284988,0.034541554,0.052575185,0.265323578,0.04193483,0.039090725,0.040807437,0.027858722
178,,04/01/2021,sas_non_elective,0.029927162,0.03496782,0.051471085,0.265415819,0.041201093,0.03907442,0.040886634,0.027646753
179,,05/01/2021,sas_non_elective,0.0315903,0.036274571,0.052992134,0.276956691,0.043041259,0.04065836,0.043225276,0.028883625
180,,06/01/2021,sas_non_elective,0.031615922,0.037087506,0.053227396,0.277561849,0.043299814,0.040413781,0.042833949,0.028785793
181,,07/01/2021,sas_non_elective,0.03065857,0.036565737,0.053474304,0.274864026,0.04345355,0.039752253,0.04231451,0.028345551
182,,08/01/2021,sas_non_elective,0.028655351,0.033129983,0.051275422,0.259190001,0.041485271,0.037730399,0.04003876,0.026626509
183,,09/01/2021,sas_non_elective,0.028997762,0.034001151,0.052235103,0.26404012,0.042426318,0.038322048,0.04079579,0.026989884
184,,10/01/2021,sas_non_elective,0.028823062,0.03386605,0.051990524,0.261942331,0.043099492,0.03576212,0.040826072,0.027299684
185,,11/01/2021,sas_non_elective,0.028513262,0.032994882,0.051580563,0.258847124,0.042743106,0.036048627,0.039880366,0.026798879
186,,12/01/2021,sas_non_elective,0.028103301,0.03210508,0.05131502,0.252284019,0.039426148,0.035233363,0.039463417,0.026391247
187,,01/01/2022,sas_non_elective,0.026985225,0.030660899,0.048932121,0.244259962,0.039747594,0.033190546,0.039291047,0.025200962
188,,02/01/2022,sas_non_elective,0.025431566,0.029559129,0.048084247,0.233564635,0.038471125,0.032396246,0.03579706,0.023565777
189,,04/01/2018,sas_first_attendances_GP_ref,0,0.051475562,0,0.291960091,0,0,0.047931328,0.023870219
190,,05/01/2018,sas_first_attendances_GP_ref,0,0.05631544,0,0.318571003,0,0,0.05254274,0.02556568
191,,06/01/2018,sas_first_attendances_GP_ref,0,0.054110439,0,0.306836253,0,0,0.051159917,0.024838195
192,,07/01/2018,sas_first_attendances_GP_ref,0,0.05503182,0,0.310241302,0,0,0.051478568,0.024871262
193,,08/01/2018,sas_first_attendances_GP_ref,0,0.051540194,0,0.291402452,0,0,0.048591175,0.02316528
194,,09/01/2018,sas_first_attendances_GP_ref,0,0.050779641,0,0.291302649,0,0,0.047809579,0.02286617
195,,10/01/2018,sas_first_attendances_GP_ref,0,0.055757802,0,0.332451233,0,0,0.054283292,0.026175925
196,,11/01/2018,sas_first_attendances_GP_ref,0,0.057875624,0,0.329823269,0,0,0.054789826,0.026064698
197,,12/01/2018,sas_first_attendances_GP_ref,0,0.046106604,0,0.26194984,0,0,0.043515315,0.020856568
198,,01/01/2019,sas_first_attendances_GP_ref,0,0.055811912,0,0.319218224,0,0,0.053249182,0.02563933
199,,02/01/2019,sas_first_attendances_GP_ref,0,0.05069096,0,0.288379783,0,0,0.04839277,0.022371661
200,,03/01/2019,sas_first_attendances_GP_ref,0,0.053761728,0,0.308146627,0,0,0.051026144,0.024011507
201,,04/01/2019,sas_first_attendances_GP_ref,0.032648135,0.050666911,0.055574427,0.292366821,0.044167646,0.03737378,0.047693843,0.023695863
202,,05/01/2019,sas_first_attendances_GP_ref,0.034432276,0.053403998,0.057716299,0.305408639,0.046135162,0.038477032,0.049933414,0.024704422
203,,06/01/2019,sas_first_attendances_GP_ref,0.033344055,0.051198997,0.055290348,0.294434441,0.044762861,0.0373347,0.047965898,0.023961906
204,,07/01/2019,sas_first_attendances_GP_ref,0.037187399,0.057508876,0.061780594,0.328501772,0.049736512,0.042439118,0.052962096,0.026249575
205,,08/01/2019,sas_first_attendances_GP_ref,0.03169519,0.049150316,0.052742648,0.280267125,0.042400038,0.035754976,0.045748873,0.022272458
206,,09/01/2019,sas_first_attendances_GP_ref,0.034167736,0.052357862,0.057074489,0.303500945,0.046013413,0.03937286,0.049530592,0.024418839
207,,10/01/2019,sas_first_attendances_GP_ref,0.037636817,0.057773416,0.06278314,0.335091822,0.051101298,0.043512309,0.054917587,0.026705005
208,,11/01/2019,sas_first_attendances_GP_ref,0.035670804,0.054235194,0.058969857,0.313560978,0.047206849,0.039971081,0.051831789,0.025078686
209,,12/01/2019,sas_first_attendances_GP_ref,0.030539331,0.047074579,0.051221543,0.271468167,0.041265222,0.034636693,0.044471266,0.021780955
