financial_year,reporting_period,month,date,organisation,org_code,org_name,region_code,region_name,rgn19cd,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA,total_admissions
2018-19,14,Sep-18,01/09/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,12570,58680,71250,56095,76065,73560,149625,9630,297520,19835,12860,58710,71570,66325,99410,115520,214925,14990,446560,31035,1956735
2018-19,14,Sep-18,01/09/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,18820,81300,100120,80910,159040,147475,306510,19090,514165,36330,19175,81330,100505,96000,194460,216015,410475,25715,810820,53970,3472225
2018-19,14,Oct-18,01/10/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16070,89065,105135,83100,185480,169590,355070,42700,690700,77850,16955,89490,106445,107585,233225,240545,473770,55825,1011470,108615,4258685
2018-19,14,Oct-18,01/10/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13485,68000,81485,61610,87075,86390,173465,10650,346665,22050,13825,68020,81845,72015,115215,136680,251895,16745,522990,34840,2264945
2018-19,14,Oct-18,01/10/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,20215,92545,112760,87620,180575,166750,347325,20970,579130,40200,20660,92600,113260,103235,221900,246315,468215,28610,924665,60320,3927870
2018-19,14,Nov-18,01/11/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16735,87685,104420,82540,192525,174620,367150,43865,713515,79080,17700,88085,105785,106510,227990,233455,461445,53725,988060,105505,4250395
2018-19,14,Nov-18,01/11/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13270,65780,79055,61770,86705,84480,171180,10285,338950,20945,13570,65810,79380,71705,112915,132315,245225,16050,510610,33170,2213170
2018-19,14,Nov-18,01/11/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,20235,90760,110995,88780,182260,163320,345580,20425,580860,38745,20680,90800,111480,103215,222030,240010,462040,27665,921465,58320,3899665
2018-19,14,Dec-18,01/12/2018,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,13510,71895,85405,82190,153375,143045,296420,36150,565210,63505,14390,72250,86640,106790,180940,191335,372275,44285,789565,85940,3455115
2018-19,14,Dec-18,01/12/2018,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,10995,55010,66010,62100,69380,67330,136710,8720,269940,17775,11295,55025,66320,72035,89555,105170,194725,13350,406365,28075,1805885
2018-19,14,Dec-18,01/12/2018,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,16695,74125,90815,87715,144755,134215,278970,17550,463475,32340,17080,74155,91235,102215,175220,194810,370030,23630,730805,47830,3167665
2018-19,14,Jan-19,01/01/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,14800,87910,102710,83475,185660,179135,364795,43520,719590,80590,15705,88290,103995,107915,219555,237050,456610,52985,993200,106465,4243955
2018-19,14,Jan-19,01/01/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,11505,67625,79130,64330,85290,84405,169695,10540,345140,22125,11825,67655,79480,74455,111165,133075,244240,16190,517625,34470,2229965
2018-19,14,Jan-19,01/01/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17705,92145,109855,91170,177135,164435,341570,20815,591620,41465,18145,92205,110350,105615,217025,242855,459875,28275,931945,61270,3915475
2018-19,14,Feb-19,01/02/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,14680,81500,96180,76155,168625,159420,328040,37910,642420,70685,15385,81920,97305,98455,198520,210800,409320,46120,875630,94305,3803375
2018-19,14,Feb-19,01/02/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,11055,60255,71310,56215,74420,74710,149135,9200,298270,18785,11290,60280,71570,65230,95950,115940,211885,13980,449555,29405,1948440
2018-19,14,Feb-19,01/02/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17365,83040,100405,82285,160980,148745,309725,17650,520935,34165,17755,83085,100840,95335,195290,217210,412500,23750,818470,50685,3490215
2018-19,14,Mar-19,01/03/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16180,86525,102705,83390,178840,168125,346965,39380,674055,70480,17060,86870,103930,108065,210160,221710,431870,47725,918830,94630,4007495
2018-19,14,Mar-19,01/03/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,13015,65290,78305,61570,79875,80030,159905,9455,312545,19020,13280,65330,78610,71650,102920,124100,227020,14475,470555,29570,2076520
2018-19,14,Mar-19,01/03/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,19590,89290,108880,91605,169740,153380,323125,18065,549625,35595,19980,89325,109305,105725,205660,225590,431255,24460,863550,52730,3686475
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16395,78665,95060,80905,168545,183140,351685,39175,637535,72680,17200,79060,96260,105465,199785,236770,436550,48440,881825,99280,3924420
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y58,SOUTH WEST COMMISSIONING REGION,E12000009,11980,62115,74090,60305,78825,80060,158890,9520,306970,19405,12190,62140,74330,69930,102680,124785,227465,14850,467655,31175,2049360
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y59,SOUTH EAST COMMISSIONING REGION,E12000008,17640,83695,101335,87465,158655,155350,314010,17840,538580,34985,18025,83745,101770,101360,195320,228665,423985,24750,853920,52810,3593905
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,21815,118495,140310,117295,184870,165675,350545,23980,642630,45000,22635,118715,141350,138915,250975,253290,504265,35290,992605,68390,4337045
2019-20,14,Apr-19,01/04/2019,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13065,69900,82965,65130,108605,97725,206330,13270,382180,27640,13440,69980,83420,78455,128105,142600,270705,17015,590775,38485,2499790
